cv_thresh_x100,motion_w,min_hsv_x100,bg_var_thresh,conf_x100,track_min_hits,color_w,shape_w,avg_stable,cv_pass_rate,peak_stable,zero_frac,score
20,2,8,30,15,3,5,3,2.158,1.0,6.0,0.033,0.672
20,2,8,50,15,3,5,3,2.158,1.0,6.0,0.033,0.672
20,2,8,70,15,3,5,3,2.158,1.0,6.0,0.033,0.672
20,2,12,30,15,3,5,3,2.158,1.0,6.0,0.033,0.672
20,2,12,50,15,3,5,3,2.158,1.0,6.0,0.033,0.672
20,2,12,70,15,3,5,3,2.158,1.0,6.0,0.033,0.672
20,3,8,30,15,3,5,2,2.158,1.0,6.0,0.033,0.672
20,3,8,50,15,3,5,2,2.158,1.0,6.0,0.033,0.672
20,3,8,70,15,3,5,2,2.158,1.0,6.0,0.033,0.672
20,3,12,30,15,3,5,2,2.158,1.0,6.0,0.033,0.672
20,3,12,50,15,3,5,2,2.158,1.0,6.0,0.033,0.672
20,3,12,70,15,3,5,2,2.158,1.0,6.0,0.033,0.672
25,1,8,30,15,3,6,3,2.158,1.0,6.0,0.033,0.672
25,1,8,50,15,3,6,3,2.158,1.0,6.0,0.033,0.672
25,1,8,70,15,3,6,3,2.158,1.0,6.0,0.033,0.672
25,1,12,30,15,3,6,3,2.158,1.0,6.0,0.033,0.672
25,1,12,50,15,3,6,3,2.158,1.0,6.0,0.033,0.672
25,1,12,70,15,3,6,3,2.158,1.0,6.0,0.033,0.672
25,2,8,30,15,3,5,3,2.158,1.0,6.0,0.033,0.672
25,2,8,50,15,3,5,3,2.158,1.0,6.0,0.033,0.672
25,2,8,70,15,3,5,3,2.158,1.0,6.0,0.033,0.672
25,2,12,30,15,3,5,3,2.158,1.0,6.0,0.033,0.672
25,2,12,50,15,3,5,3,2.158,1.0,6.0,0.033,0.672
25,2,12,70,15,3,5,3,2.158,1.0,6.0,0.033,0.672
25,3,8,30,15,3,5,2,2.158,1.0,6.0,0.033,0.672
25,3,8,50,15,3,5,2,2.158,1.0,6.0,0.033,0.672
25,3,8,70,15,3,5,2,2.158,1.0,6.0,0.033,0.672
25,3,12,30,15,3,5,2,2.158,1.0,6.0,0.033,0.672
